"State","meanRobbery","meanBurglary"
"ALABAMA",97.1,837.125
"ALASKA",95.7375,455.175
"ARIZONA",103.2375,683.1875
"ARKANSAS",74.2125,939.8375
"CALIFORNIA",141.475,553.6875
"COLORADO",62.725,463.775
"CONNECTICUT",90.6625,346.4625
"DELAWARE",148.7125,649.3125
"FLORIDA",116.4375,683.35
"GEORGIA",119.9625,777.8875
"HAWAII",76.95,536.275
"IDAHO",12.7875,397.7125
"ILLINOIS",139.2125,457.4625
"INDIANA",104.1875,616.1125
"IOWA",33.1625,510.5625
"KANSAS",53.95,578.7625
"KENTUCKY",77.2625,583.5
"LOUISIANA",117.8875,859.5375
"MAINE",25.1125,434.4375
"MARYLAND",173.85,506.75
"MASSACHUSETTS",90.45,416.6875
"MICHIGAN",90.6875,538.975
"MINNESOTA",66.05,404.8375
"MISSISSIPPI",80.2375,886.4375
"MISSOURI",100.2625,622.775
"MONTANA",20.7,367.6125
"NEBRASKA",54.325,414.0125
"NEVADA",190.3125,756.0875
"NEWHAMPSHIRE",36.7375,327.825
"NEWJERSEY",118.9,378.2875
"NEWMEXICO",108.1875,937.475
"NEWYORK",129.35,268.4125
"NORTHCAROLINA",93.3,875
"NORTHDAKOTA",19.8625,371.6
"OHIO",120.4375,742.5875
"OKLAHOMA",81.4125,839.6
"OREGON",57.875,482.425
"PENNSYLVANIA",111.2125,367.0625
"RHODEISLAND",59.5625,479.5625
"SOUTHCAROLINA",87.425,820.8
"SOUTHDAKOTA",23.05,358.2
"TENNESSEE",119.4625,774.675
"TEXAS",117.95,680.95
"UTAH",44.0375,441.4125
"VERMONT",14.25,444.3125
"VIRGINIA",57.9125,304
"WASHINGTON",80.4625,765.6125
"WESTVIRGINIA",39.825,528.0125
"WISCONSIN",82.175,399.1125
"WYOMING",11.4875,322.575
