Table 5,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,
"by State, 2002",,,,,,,,,,,,,,
Area,Population,Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,,Burglary,Larceny-theft,Motor vehicle theft,Arson1
,,,,,,,,,,,,,,
ALABAMA, , , ,,,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"3,136,510",,,,,,,,,,,,,
   Area actually reporting,93.2%,"146,135",,"14,368","131,767",231,"1,197","4,970","7,970",,"30,511","90,531","10,725",
   Estimated total,100.0%,"155,153", ,"15,126","140,027",240,"1,256","5,210","8,420",,"32,145","96,566","11,316",
Cities outside metropolitan areas,"539,598",,,,,,,,,,,,,
   Area actually reporting,82.2%,"25,276", ,"2,469","22,807",24,195,484,"1,766",,"4,993","16,610","1,204",
   Estimated total,100.0%,"30,749", ,"3,003","27,746",29,237,589,"2,148",,"6,074","20,207","1,465",
Rural,"810,400",,,,,,,,,,,,,
   Area actually reporting,73.6%,"10,626", ,"1,327","9,299",25,126,120,"1,056",,"3,210","5,272",817,
   Estimated total,100.0%,"14,429", ,"1,802","12,627",34,171,163,"1,434",,"4,359","7,159","1,109",
State Total,"4,486,508","200,331",,"19,931","180,400",303,"1,664","5,962","12,002",0,"42,578","123,932","13,890",
"   Rate per 100,000 inhabitants",,"4,465.2",,444.2,"4,020.9",6.8,37.1,132.9,267.5,,949.0,"2,762.3",309.6,
,,,,, , , ,, ,, ,, ,
ALASKA,, , , ,, , , , ,, ,, ,
,,,,,, , ,, ,,,,,
Metropolitan Statistical Area,"267,280",,,,,,,,,,,,,
   Area actually reporting,100.0%,"13,670",,"1,721","11,949",18,254,382,"1,067",,"1,521","9,255","1,173",
Cities outside metropolitan areas,"167,350",,,,,,,,,,,,,
   Area actually reporting,95.0%,"8,727",,"1,122","7,605",5,134,73,910,,"1,015","5,901",689,
