Table 5,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,
"by State, 2003",,,,,,,,,,,,
,,,Violent crime,,,,,Property crime,,,,
Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,
ALABAMA, ,,,,,,,,,,,
Metropolitan Statistical Area,"3,179,196",,,,,,,,,,, 
   Area actually reporting,95.2%,"14,871",242,"1,197","5,305","8,127","139,325","33,305","93,858","12,162",,
   Estimated total,100.0%,"15,364",247,"1,240","5,441","8,436","144,477","34,489","97,441","12,547",,
Cities outside metropolitan areas,"557,794",,,,,,,,,,,
   Area actually reporting,92.9%,"2,698",30,245,477,"1,946","26,129","5,004","19,687","1,438",,
   Estimated total,100.0%,"2,881",32,263,507,"2,079","27,863","5,339","20,993","1,531",,
Nonmetropolitan counties,"763,762",,,,,,,,,,,
   Area actually reporting,79.7%,866,16,122,72,656,"7,894","2,724","4,469",701,,
   Estimated total,100.0%,"1,086",20,153,90,823,"9,901","3,417","5,605",879,,
State Total,"4,500,752","19,331",299,"1,656","6,038","11,338","182,241","43,245","124,039","14,957",,
"   Rate per 100,000 inhabitants",,429.5,6.6,36.8,134.2,251.9,"4,049.1",960.8,"2,756.0",332.3,,
ALASKA,, , , , , ,, , , ,,
Metropolitan Statistical Area,"315,592",,,,,,,,,,,
   Area actually reporting,100.0%,"2,222",21,291,389,"1,521","14,707","1,798","11,488","1,421",,
Cities outside metropolitan areas,"122,843",,,,,,,,,,,
   Area actually reporting,93.4%,689,3,122,30,534,"4,421",522,"3,471",428,,
   Estimated total,100.0%,738,3,131,32,572,"4,733",559,"3,716",458,,
Nonmetropolitan counties,"210,383",,,,,,,,,,,
   Area actually reporting,100.0%,890,15,178,23,674,"4,840","1,498","2,773",569,,
State Total,"648,818","3,850",39,600,444,"2,767","24,280","3,855","17,977","2,448",,
"   Rate per 100,000 inhabitants",,593.4,6.0,92.5,68.4,426.5,"3,742.2",594.2,"2,770.7",377.3,,
ARIZONA,, , ,,,,,,,,,
Metropolitan Statistical Area,"4,958,626",,,,,,,,,,,
   Area actually reporting,98.4%,"25,898",415,"1,719","7,393","16,371","288,776","52,742","181,499","54,535",,
   Estimated total,100.0%,"26,208",416,"1,745","7,460","16,587","292,974","53,653","184,112","55,209",,
Cities outside metropolitan areas,"302,704",, ,,,,,,,,,
   Area actually reporting,98.8%,"1,177",13,68,123,973,"14,582","2,663","10,828","1,091",,
   Estimated total,100.0%,"1,192",13,69,125,985,"14,765","2,696","10,964","1,105",,
Nonmetropolitan counties,"319,481",,,,,,,,,,,
   Area actually reporting,100.0%,"1,238",12,42,34,"1,150","6,596","2,264","3,649",683,,
State Total,"5,580,811","28,638",441,"1,856","7,619","18,722","314,335","58,613","198,725","56,997",,
