Table 5,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,
"by State, 2011", ,,,,,,,,,,,
State,Area,,Population,"Violent 
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny- 
theft","Motor 
vehicle 
theft"
ALABAMA1,Metropolitan Statistical Area,,"3,431,868",,,,,,,,,
,,Area actually reporting,97.8%,"15,393",252,981,"4,345","9,815","131,484","39,276","83,753","8,455"
,,Estimated total,100.0%,"15,575",254,998,"4,375","9,948","133,029","39,846","84,632","8,551"
,Cities outside metropolitan areas,,"625,776",,,,,,,,,
,,Area actually reporting,98.4%,"3,199",31,241,461,"2,466","28,863","7,122","20,324","1,417"
,,Estimated total,100.0%,"3,228",31,244,464,"2,489","29,048","7,188","20,436","1,424"
,Nonmetropolitan counties,,"745,096",,,,,,,,,
,,Area actually reporting,97.8%,"1,341",16,126,69,"1,130","10,870","3,994","6,204",672
,,Estimated total,100.0%,"1,371",16,129,71,"1,155","11,113","4,083","6,343",687
,State Total,,"4,802,740","20,174",301,"1,371","4,910","13,592","173,190","51,117","111,411","10,662"
,,"Rate per 100,000 inhabitants",,420.1,6.3,28.5,102.2,283.0,"3,606.1","1,064.3","2,319.7",222.0
ALASKA,Metropolitan Statistical Area,,"345,208",,,,,,,,,
,,Area actually reporting,100.0%,"2,646",15,306,507,"1,818","11,664","1,304","9,626",734
,Cities outside metropolitan areas,,"125,661",,,,,,,,,
,,Area actually reporting,93.9%,678,2,75,41,560,"3,639",426,"2,976",237
,,Estimated total,100.0%,722,2,80,44,596,"3,876",454,"3,170",252
,Nonmetropolitan counties,,"251,849",,,,,,,,,
,,Area actually reporting,100.0%,"1,015",12,34,25,944,"3,488","1,068","2,063",357
,State Total,,"722,718","4,383",29,420,576,"3,358","19,028","2,826","14,859","1,343"
,,"Rate per 100,000 inhabitants",,606.5,4.0,58.1,79.7,464.6,"2,632.8",391.0,"2,056.0",185.8
ARIZONA,Metropolitan Statistical Area,,"5,998,271",,,,,,,,,
,,Area actually reporting,99.5%,"22,804",331,"1,631","6,980","13,862","215,453","50,478","146,557","18,418"
,,Estimated total,100.0%,"22,877",332,"1,637","6,996","13,912","216,378","50,678","147,233","18,467"
,Cities outside metropolitan areas, ,"205,812",, ,,,,,,,
,,Area actually reporting,88.6%,"2,392",58,499,96,"1,739","9,869","2,732","6,135","1,002"
,,Estimated total,100.0%,"2,742",65,606,108,"1,963","11,140","3,084","6,925","1,131"
,Nonmetropolitan counties, ,"278,422",,,,,,,,,
,,Area actually reporting,98.1%,680,8,21,23,628,"2,850","1,145","1,478",227
,,Estimated total,100.0%,692,8,21,23,640,"2,904","1,167","1,506",231
,State Total,,"6,482,505","26,311",405,"2,264","7,127","16,515","230,422","54,929","155,664","19,829"
,,"Rate per 100,000 inhabitants",,405.9,6.2,34.9,109.9,254.8,"3,554.5",847.3,"2,401.3",305.9
ARKANSAS,Metropolitan Statistical Area,,"1,770,662",,,,,,,,,
,,Area actually reporting,95.8%,"10,344",112,851,"2,020","7,361","74,609","22,110","48,309","4,190"
,,Estimated total,100.0%,"10,597",114,875,"2,037","7,571","76,149","22,676","49,174","4,299"
,Cities outside metropolitan areas,,"512,170",, ,,,,,,,
,,Area actually reporting ,96.5%,"2,326",32,205,320,"1,769","21,995","7,421","13,877",697
,,Estimated total,100.0%,"2,410",33,212,332,"1,833","22,792","7,690","14,380",722
,Nonmetropolitan counties,,"655,147",,,,,,,,,
,,Area actually reporting,92.9%,"1,043",14,117,55,857,"10,549","3,814","6,000",735
,,Estimated total,100.0%,"1,122",15,126,59,922,"11,354","4,105","6,458",791
,State Total,,"2,937,979","14,129",162,"1,213","2,428","10,326","110,295","34,471","70,012","5,812"
,,"Rate per 100,000 inhabitants",,480.9,5.5,41.3,82.6,351.5,"3,754.1","1,173.3","2,383.0",197.8
CALIFORNIA,Metropolitan Statistical Area,,"36,836,745",,,,,,,,,
,,Area actually reporting,99.9%,"151,568","1,757","7,370","53,902","88,539","954,328","224,122","585,150","145,056"
,,Estimated total,100.0%,"151,642","1,757","7,374","53,926","88,585","954,893","224,257","585,505","145,131"
,Cities outside metropolitan areas,,"278,451",,,,,,,,,
,,Area actually reporting,100.0%,"1,503",6,116,210,"1,171","9,841","2,598","6,538",705
,Nonmetropolitan counties,,"576,716",,,,,,,,,
,,Area actually reporting,100.0%,"1,799",29,173,156,"1,441","9,167","3,235","4,920","1,012"
,State Total,,"37,691,912","154,944","1,792","7,663","54,292","91,197","973,901","230,090","596,963","146,848"
,,"Rate per 100,000 inhabitants",,411.1,4.8,20.3,144.0,242.0,"2,583.8",610.4,"1,583.8",389.6
COLORADO,Metropolitan Statistical Area,,"4,417,535",,,,, ,,,,
,,Area actually reporting,98.8%,"14,918",132,"2,042","3,211","9,533","119,439","23,321","85,624","10,494"
,,Estimated total,100.0%,"15,045",132,"2,062","3,229","9,622","120,630","23,529","86,519","10,582"
,Cities outside metropolitan areas,,"333,267",,,,,,,,,
,,Area actually reporting,90.4%,835,8,154,59,614,"8,868","1,337","7,248",283
,,Estimated total,100.0%,923,9,170,65,679,"9,806","1,478","8,015",313
,Nonmetropolitan counties,,"365,994",,,,,,,,,
,,Area actually reporting,84.0%,349,7,39,10,293,"2,457",639,"1,690",128
,,Estimated total,100.0%,415,8,46,12,349,"2,925",761,"2,012",152
,State Total,,"5,116,796","16,383",149,"2,278","3,306","10,650","133,361","25,768","96,546","11,047"
,,"Rate per 100,000 inhabitants",,320.2,2.9,44.5,64.6,208.1,"2,606.3",503.6,"1,886.8",215.9
CONNECTICUT,Metropolitan Statistical Area,,"2,880,136",,,,,,,,,
,,Area actually reporting,100.0%,"9,235",123,604,"3,581","4,927","70,282","13,775","50,161","6,346"
,Cities outside metropolitan areas,,"161,436",,,,,,,,,
,,Area actually reporting,100.0%,217,1,34,45,137,"2,880",488,"2,274",118
,Nonmetropolitan counties,,"539,137",,,,,,,,,
,,Area actually reporting,100.0%,315,4,48,51,212,"4,447","1,416","2,783",248
,State Total,,"3,580,709","9,767",128,686,"3,677","5,276","77,609","15,679","55,218","6,712"
,,"Rate per 100,000 inhabitants",,272.8,3.6,19.2,102.7,147.3,"2,167.4",437.9,"1,542.1",187.4
DELAWARE,Metropolitan Statistical Area,,"707,970",,,,,,,,,
