Table 5,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,
"by State, 2013",,,,,,,, ,,,,,
State,Area,,Population,"Violent
crime1","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
ALABAMA4,Metropolitan Statistical Area,,"3,672,399",,,,,,,,,,
,,Area actually reporting,96.2%,,280,"1,454",,"4,130","10,373","126,932","32,452","86,012","8,468"
,,Estimated total,100.0%,"16,664",283,"1,507","1,053","4,208","10,666","130,416","33,451","88,269","8,696"
,Cities outside metropolitan areas,,"528,341",,,,,,,,,,
,,Area actually reporting,94.0%,,33,282,,348,"2,022","21,396","5,317","14,897","1,182"
,,Estimated total,100.0%,"2,840",35,299,209,367,"2,139","22,487","5,605","15,637","1,245"
,Nonmetropolitan counties,,"632,982",,,,,,,,,,
,,Area actually reporting,99.2%,,29,236,,72,974,"9,020","3,347","5,048",625
,,Estimated total,100.0%,"1,322",29,238,166,73,982,"9,090","3,373","5,087",630
,State Total,,"4,833,722","20,826",347,"2,044","1,428","4,648","13,787","161,993","42,429","108,993","10,571"
,,"Rate per 100,000 inhabitants",,430.8,7.2,42.3,29.5,96.2,285.2,"3,351.3",877.8,"2,254.8",218.7
ALASKA4,Metropolitan Statistical Area,,"349,294",,,,,,,,,,
,,Area actually reporting,100.0%,"2,734",15,454,317,569,"1,696","14,476","1,523","11,912","1,041"
,Cities outside metropolitan areas,,"128,768",,,,,,,,,,
,,Area actually reporting,96.6%,,1,98,,33,636,"3,606",407,"2,950",249
,,Estimated total,100.0%,795,1,101,71,34,659,"3,733",421,"3,054",258
,Nonmetropolitan counties,,"257,070",,,,,,,,,,
,,Area actually reporting,100.0%,"1,179",18,367,256,21,773,"3,001",972,"1,633",396
,State Total,,"735,132","4,708",34,922,644,624,"3,128","21,210","2,916","16,599","1,695"
,,"Rate per 100,000 inhabitants",,640.4,4.6,125.4,87.6,84.9,425.5,"2,885.2",396.7,"2,258.0",230.6
"ARIZONA5,6",Metropolitan Statistical Area,,"6,277,606",,,,,,,,,,
,,Area actually reporting,99.8%,,315,,"1,843","6,567","15,516","213,239","44,933","152,271","16,035"
,,Estimated total,100.0%,"24,832",315,"2,406","1,843","6,575","15,536","213,617","45,003","152,558","16,056"
,Cities outside metropolitan areas, ,"123,679",, ,,,,,,,,
,,Area actually reporting,88.4%,,36,,433,102,"1,406","8,420","2,465","4,901","1,054"
