Table 5,,,,,,,,,,,,,
Crime in the United States,,,, ,,,,,,,,,
"by State, 2014",,,,,,,, ,,,,,
State,Area,,Population,Violent crime1,"Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
ALABAMA4,Metropolitan Statistical Area,,"3,692,100",,,,,,,,,,
,,Area actually reporting,95.5%,"16,204",232,"1,435","1,033","4,131","10,406","118,226","29,903","80,430","7,893"
,,Estimated total,100.0%,"16,702",236,"1,494","1,076","4,228","10,744","122,299","31,007","83,126","8,166"
,Cities outside metropolitan areas,,"529,129",,,,,,,,,,
,,Area actually reporting,93.3%,"2,605",17,294,214,363,"1,931","21,747","5,005","15,516","1,226"
,,Estimated total,100.0%,"2,769",18,310,226,386,"2,055","23,058","5,330","16,420","1,308"
,Nonmetropolitan counties,,"628,148",,,,,,,,,,
,,Area actually reporting,99.4%,"1,247",22,199,133,86,940,"8,683","3,357","4,663",663
,,Estimated total,100.0%,"1,256",22,201,134,87,946,"8,737","3,378","4,692",667
,State Total,,"4,849,377","20,727",276,"2,005","1,436","4,701","13,745","154,094","39,715","104,238","10,141"
,,"Rate per 100,000 inhabitants",,427.4,5.7,41.3,29.6,96.9,283.4,"3,177.6",819.0,"2,149.5",209.1
ALASKA4,Metropolitan Statistical Area,,"351,408",,,,,,,,,,
,,Area actually reporting,100.0%,"2,899",17,442,329,557,"1,883","13,905","1,626","11,148","1,131"
,Cities outside metropolitan areas,,"128,681",,,,,,,,,,
,,Area actually reporting,96.6%,722,3,128,93,45,546,"3,362",413,"2,702",247
,,Estimated total,100.0%,748,3,133,98,47,565,"3,480",427,"2,797",256
,Nonmetropolitan counties,,"256,643",,,,,,,,,,
,,Area actually reporting,100.0%,"1,037",21,196,128,25,795,"2,949","1,097","1,500",352
,State Total,,"736,732","4,684",41,771,555,629,"3,243","20,334","3,150","15,445","1,739"
,,"Rate per 100,000 inhabitants",,635.8,5.6,104.7,75.3,85.4,440.2,"2,760.0",427.6,"2,096.4",236.0
ARIZONA4,Metropolitan Statistical Area,,"6,382,968",,,,,,,,,,
,,Area actually reporting,98.1%,"24,006",288,"2,762","2,024","6,117","14,839","201,780","39,504","146,202","16,074"
,,Estimated total,100.0%,"24,291",293,"2,791","2,045","6,155","15,052","204,214","40,034","147,926","16,254"
,Cities outside metropolitan areas, ,"123,617",, ,,,,,,,,
,,Area actually reporting,78.4%,"1,721",20,452,323,55,"1,194","7,020","2,111","3,996",913
,,Estimated total,100.0%,"2,192",25,574,409,70,"1,523","8,952","2,692","5,096","1,164"
,Nonmetropolitan counties, ,"224,899",,,,,,,,,,
,,Area actually reporting,100.0%,433,1,13,10,24,395,"2,074",836,"1,069",169
,State Total,,"6,731,484","26,916",319,"3,378","2,464","6,249","16,970","215,240","43,562","154,091","17,587"
,,"Rate per 100,000 inhabitants",,399.9,4.7,50.2,36.6,92.8,252.1,"3,197.5",647.1,"2,289.1",261.3
ARKANSAS4,Metropolitan Statistical Area,,"1,818,380",,,,,,,,,,
,,Area actually reporting,98.5%,"9,939",109,958,699,"1,671","7,201","65,236","15,309","46,042","3,885"
,,Estimated total,100.0%,"10,058",109,976,712,"1,683","7,290","66,163","15,532","46,704","3,927"
,Cities outside metropolitan areas,,"507,788",, ,,,,,,,,
,,Area actually reporting ,88.9%,"2,349",27,383,227,284,"1,655","18,688","5,059","12,892",737
,,Estimated total,100.0%,"2,648",30,438,268,319,"1,861","21,015","5,689","14,497",829
,Nonmetropolitan counties,,"640,201",,,,,,,,,,
,,Area actually reporting,87.9%,"1,340",23,296,170,42,979,"10,407","3,137","6,527",743
,,Estimated total,100.0%,"1,537",26,349,202,48,"1,114","11,840","3,569","7,426",845
,State Total,,"2,966,369","14,243",165,"1,763","1,182","2,050","10,265","99,018","24,790","68,627","5,601"
,,"Rate per 100,000 inhabitants",,480.1,5.6,59.4,39.8,69.1,346.0,"3,338.0",835.7,"2,313.5",188.8
CALIFORNIA5,Metropolitan Statistical Area,,"37,970,617",,,,,,,,,,
,,Area actually reporting,99.9%,"150,171","1,652","11,088","8,096","48,278","89,153","928,421","197,039","581,578","149,804"
,,Estimated total,100.0%,"150,192","1,652","11,089","8,097","48,285","89,166","928,584","197,074","581,682","149,828"
,Cities outside metropolitan areas,,"268,396",,,,,,,,,,
,,Area actually reporting,100.0%,"1,524",16,168,126,257,"1,083","10,256","2,635","6,832",789
,Nonmetropolitan counties,,"563,487",,,,,,,,,,
,,Area actually reporting,100.0%,"1,993",31,270,175,138,"1,554","8,352","2,961","4,156","1,235"
,State Total,,"38,802,500","153,709","1,699","11,527","8,398","48,680","91,803","947,192","202,670","592,670","151,852"
,,"Rate per 100,000 inhabitants",,396.1,4.4,29.7,21.6,125.5,236.6,"2,441.1",522.3,"1,527.4",391.3
COLORADO4,Metropolitan Statistical Area,,"4,664,010",,,,,, ,,,,
,,Area actually reporting,98.5%,"15,229",126,"2,700","1,943","2,952","9,451","122,570","21,212","89,448","11,910"
,,Estimated total,100.0%,"15,365",127,"2,728","1,961","2,963","9,547","123,592","21,419","90,164","12,009"
,Cities outside metropolitan areas,,"334,211",,,,,,,,,,
,,Area actually reporting,93.2%,735,15,191,96,60,469,"8,603","1,257","7,018",328
,,Estimated total,100.0%,790,16,207,109,64,503,"9,233","1,349","7,532",352
,Nonmetropolitan counties,,"357,645",,,,,,,,,,
,,Area actually reporting,99.6%,398,8,104,51,12,274,"2,674",701,"1,761",212
,,Estimated total,100.0%,399,8,104,51,12,275,"2,685",704,"1,768",213
,State Total,,"5,355,866","16,554",151,"3,039","2,121","3,039","10,325","135,510","23,472","99,464","12,574"
,,"Rate per 100,000 inhabitants",,309.1,2.8,56.7,39.6,56.7,192.8,"2,530.1",438.2,"1,857.1",234.8
CONNECTICUT4,Metropolitan Statistical Area,,"2,948,198",,,,,,,,,,
,,Area actually reporting,100.0%,"8,068",82,686,513,"3,106","4,194","63,397","10,737","46,890","5,770"
,Cities outside metropolitan areas,,"115,968",,,,,,,,,,
,,Area actually reporting,100.0%,108,2,11,8,22,73,"1,850",274,"1,499",77
,Nonmetropolitan counties,,"532,511",,,,,,,,,,
,,Area actually reporting,100.0%,346,2,85,50,31,228,"3,823",944,"2,616",263
,State Total,,"3,596,677","8,522",86,782,571,"3,159","4,495","69,070","11,955","51,005","6,110"
,,"Rate per 100,000 inhabitants",,236.9,2.4,21.7,15.9,87.8,125.0,"1,920.4",332.4,"1,418.1",169.9
DELAWARE4,Metropolitan Statistical Area,,"935,614",,,,,,,,,,
,,Area actually reporting,100.0%,"4,575",54,385,249,"1,269","2,867","27,899","5,768","20,864","1,267"
,Cities outside metropolitan areas,,None,, ,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,100.0%,1,0,1,0,0,0,1,0,1,0
,State Total,,"935,614","4,576",54,386,249,"1,269","2,867","27,900","5,768","20,865","1,267"
,,"Rate per 100,000 inhabitants",,489.1,5.8,41.3,26.6,135.6,306.4,"2,982.0",616.5,"2,230.1",135.4
"DISTRICT OF COLUMBIA4, 6",Metropolitan Statistical Area,,"658,893",,,,,,,,,,
,,Area actually reporting,100.0%,"8,199",105,472,352,"3,497","4,125","34,147","3,466","26,898","3,783"
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,Total,,"658,893","8,199",105,472,352,"3,497","4,125","34,147","3,466","26,898","3,783"
,,"Rate per 100,000 inhabitants",,"1,244.4",15.9,71.6,53.4,530.7,626.1,"5,182.5",526.0,"4,082.3",574.1
FLORIDA4,Metropolitan Statistical Area,,"19,186,005", ,,,,,, ,,,
,,Area actually reporting,99.9%,"104,161","1,133","8,298","5,872","24,552","70,178","661,692","138,134","481,755","41,803"
,,Estimated total,100.0%,"104,272","1,133","8,308","5,880","24,582","70,249","662,580","138,301","482,424","41,855"
,Cities outside metropolitan areas,,"148,283",,,,,,,,,,
,,Area actually reporting,97.0%,921,4,53,38,163,701,"5,937","1,324","4,355",258
,,Estimated total,100.0%,949,4,54,39,168,723,"6,121","1,365","4,490",266
,Nonmetropolitan counties,,"559,009",,,,,,,,,,
,,Area actually reporting,94.1%,"2,159",11,184,121,154,"1,810","10,115","3,346","6,338",431
,,Estimated total,100.0%,"2,300",12,201,132,164,"1,923","10,745","3,554","6,733",458
,State Total,,"19,893,297","107,521","1,149","8,563","6,051","24,914","72,895","679,446","143,220","493,647","42,579"
,,"Rate per 100,000 inhabitants",,540.5,5.8,43.0,30.4,125.2,366.4,"3,415.5",719.9,"2,481.5",214.0
GEORGIA7,Metropolitan Statistical Area,,"8,320,348",,,,,,,,,,
,,Area actually reporting,99.4%,"32,097",508,"2,487","1,769","11,368","17,734","276,099","63,221","188,100","24,778"
,,Estimated total,100.0%,"32,360",508,"2,539","1,809","11,447","17,866","278,295","63,621","189,741","24,933"
,Cities outside metropolitan areas,,"662,709",,,,,,,,,,
,,Area actually reporting,90.3%,"3,041",30,255,188,704,"2,052","29,412","6,160","22,485",767
,,Estimated total,100.0%,"3,352",33,269,202,779,"2,271","32,554","6,818","24,887",849
,Nonmetropolitan counties,,"1,114,286",,,,,,,,,,
,,Area actually reporting,91.5%,"2,179",36,215,134,175,"1,753","18,737","5,483","12,273",981
,,Estimated total,100.0%,"2,385",39,240,148,191,"1,915","20,467","5,989","13,406","1,072"
,State Total,,"10,097,343","38,097",580,"3,048","2,159","12,417","22,052","331,316","76,428","228,034","26,854"
,,"Rate per 100,000 inhabitants",,377.3,5.7,30.2,21.4,123.0,218.4,"3,281.2",756.9,"2,258.4",266.0
HAWAII4,Metropolitan Statistical Area,,"1,156,263",,,,,,,,,,
,,Area actually reporting,100.0%,"2,901",15,310,225,994,"1,582","35,245","5,759","26,162","3,324"
,Cities outside metropolitan areas,,None,, ,,,,,,,,
,Nonmetropolitan counties,,"263,298",,,,,,,,,,
,,Estimated total,100.0%,779,11,135,89,113,520,"8,052","2,019","5,478",555
,State Total, ,"1,419,561","3,680",26,445,314,"1,107","2,102","43,297","7,778","31,640","3,879"
,,"Rate per 100,000 inhabitants",,259.2,1.8,31.3,22.1,78.0,148.1,"3,050.0",547.9,"2,228.9",273.3
IDAHO4,Metropolitan Statistical Area,,"1,086,169",,,,,,, ,,,
,,Area actually reporting,99.9%,"2,431",18,433,318,157,"1,823","21,605","4,103","16,290","1,212"
,,Estimated total,100.0%,"2,432",18,433,318,157,"1,824","21,616","4,105","16,298","1,213"
,Cities outside metropolitan areas,,"250,458",,,,,,,,,,
,,Area actually reporting,100.0%,628,4,111,93,36,477,"5,510","1,283","3,999",228
,Nonmetropolitan counties, ,"297,837",,,,,,,, ,,
,,Area actually reporting,100.0%,408,10,65,57,11,322,"3,190","1,040","1,930",220
,State Total,,"1,634,464","3,468",32,609,468,204,"2,623","30,316","6,428","22,227","1,661"
,,"Rate per 100,000 inhabitants",,212.2,2.0,37.3,28.6,12.5,160.5,"1,854.8",393.3,"1,359.9",101.6
ILLINOIS4,Metropolitan Statistical Area,,"11,380,871",,,,,,,,,,
,,Area actually reporting,96.3%,"43,827",656,"3,577","2,647","14,844","24,750","237,056","43,542","177,082","16,432"
,,Estimated total,100.0%,"44,639",665,"3,690","2,735","15,060","25,224","244,145","44,777","182,621","16,747"
,Cities outside metropolitan areas,,"832,015",,,,,,,,,,
,,Area actually reporting,86.1%,"2,049",15,296,221,184,"1,554","15,693","3,139","12,141",413
,,Estimated total,100.0%,"2,377",17,341,260,214,"1,805","18,227","3,646","14,101",480
,Nonmetropolitan counties,,"667,694",,,,,,,,,,
,,Area actually reporting,93.6%,599,3,114,78,23,459,"4,691","1,483","2,998",210
,,Estimated total,100.0%,647,3,128,86,25,491,"5,013","1,585","3,204",224
,State Total,,"12,880,580","47,663",685,"4,159","3,081","15,299","27,520","267,385","50,008","199,926","17,451"
,,"Rate per 100,000 inhabitants",,370.0,5.3,32.3,23.9,118.8,213.7,"2,075.9",388.2,"1,552.2",135.5
INDIANA5,Metropolitan Statistical Area,,"5,123,600",,,,,,,,,,
,,Area actually reporting,89.1%,"20,655",289,"1,742","1,283","6,514","12,110","139,542","30,229","97,466","11,847"
,,Estimated total,100.0%,"21,655",300,"1,851","1,364","6,697","12,807","149,875","31,963","105,352","12,560"
,Cities outside metropolitan areas, ,"520,959",,,,,,,,,,
,,Area actually reporting,68.2%,923,2,136,103,102,683,"10,928","1,530","8,854",544
,,Estimated total,100.0%,"1,352",3,199,153,149,"1,001","16,013","2,242","12,974",797
,Nonmetropolitan counties,,"952,296",,,,,,,,,,
,,Area actually reporting,70.5%,764,19,90,70,36,619,"6,266","1,895","4,016",355
,,Estimated total,100.0%,"1,092",27,136,98,51,878,"8,888","2,688","5,696",504
,State Total,,"6,596,855","24,099",330,"2,186","1,615","6,897","14,686","174,776","36,893","124,022","13,861"
,,"Rate per 100,000 inhabitants",,365.3,5.0,33.1,24.5,104.5,222.6,"2,649.4",559.3,"1,880.0",210.1
IOWA4,Metropolitan Statistical Area,,"1,816,911", ,,,,,,,,,
,,Area actually reporting,97.6%,"5,597",37,761,576,916,"3,883","45,159","9,323","32,729","3,107"
,,Estimated total,100.0%,"5,673",38,777,587,919,"3,939","45,646","9,453","33,049","3,144"
,Cities outside metropolitan areas,,"601,521",,,,,,,,,,
,,Area actually reporting,91.6%,"1,811",15,220,151,106,"1,470","13,720","2,995","10,125",600
,,Estimated total,100.0%,"1,980",16,243,168,116,"1,605","14,984","3,271","11,058",655
,Nonmetropolitan counties,,"688,694",,,,,,,,,,
,,Area actually reporting,86.4%,726,5,90,62,9,622,"3,824","1,472","2,048",304
,,Estimated total,100.0%,844,6,108,73,10,720,"4,426","1,704","2,370",352
,State Total,,"3,107,126","8,497",60,"1,128",828,"1,045","6,264","65,056","14,428","46,477","4,151"
,,"Rate per 100,000 inhabitants",,273.5,1.9,36.3,26.6,33.6,201.6,"2,093.8",464.4,"1,495.8",133.6
KANSAS4,Metropolitan Statistical Area,,"1,950,218", ,,,,,,,,,
,,Area actually reporting,98.4%,"7,209",75,985,756,"1,202","4,947","55,694","10,119","39,991","5,584"
,,Estimated total,100.0%,"7,262",75,991,760,"1,208","4,988","56,297","10,220","40,448","5,629"
,Cities outside metropolitan areas,,"612,758",,,,,,,,,,
,,Area actually reporting,95.3%,"2,062",11,325,251,132,"1,594","17,440","3,655","12,934",851
,,Estimated total,100.0%,"2,161",12,337,261,139,"1,673","18,303","3,836","13,574",893
,Nonmetropolitan counties,,"341,045",,,,,,,,,,
,,Area actually reporting,96.4%,673,4,79,51,14,576,"4,656","1,708","2,578",370
,,Estimated total,100.0%,700,4,83,54,15,598,"4,831","1,772","2,675",384
,State Total,,"2,904,021","10,123",91,"1,411","1,075","1,362","7,259","79,431","15,828","56,697","6,906"
,,"Rate per 100,000 inhabitants",,348.6,3.1,48.6,37.0,46.9,250.0,"2,735.2",545.0,"1,952.4",237.8
KENTUCKY4,Metropolitan Statistical Area,,"2,574,779", ,,,,,, ,,,
,,Area actually reporting,99.8%,"7,057",100,727,420,"2,827","3,403","72,864","15,478","52,618","4,768"
,,Estimated total,100.0%,"7,065",100,727,420,"2,831","3,407","72,991","15,502","52,715","4,774"
,Cities outside metropolitan areas,,"538,647",,,,,,,,,,
,,Area actually reporting,97.7%,869,11,173,135,315,370,"14,649","2,799","11,298",552
,,Estimated total,100.0%,887,11,175,137,322,379,"14,995","2,865","11,565",565
,Nonmetropolitan counties,,"1,300,031",,,,,,,,,,
,,Area actually reporting,99.2%,"1,378",49,534,323,182,613,"11,093","4,839","5,283",971
,,Estimated total,100.0%,"1,388",49,538,326,183,618,"11,180","4,877","5,324",979
,State Total,,"4,413,457","9,340",160,"1,440",883,"3,336","4,404","99,166","23,244","69,604","6,318"
,,"Rate per 100,000 inhabitants",,211.6,3.6,32.6,20.0,75.6,99.8,"2,246.9",526.7,"1,577.1",143.2
LOUISIANA4,Metropolitan Statistical Area,,"3,882,923", ,,,,,, ,,,
,,Area actually reporting,98.8%,"20,348",413,"1,148",833,"5,252","13,535","136,338","32,197","95,266","8,875"
,,Estimated total,100.0%,"20,567",414,"1,161",844,"5,286","13,706","138,370","32,569","96,799","9,002"
,Cities outside metropolitan areas,,"274,036",,,,,,,,,,
,,Area actually reporting,79.6%,"1,702",30,85,62,253,"1,334","11,295","2,718","8,275",302
,,Estimated total,100.0%,"2,142",38,109,82,318,"1,677","14,197","3,416","10,401",380
,Nonmetropolitan counties,,"492,717",,,,,,,,,,
,,Area actually reporting,100.0%,"1,225",25,105,66,91,"1,004","8,257","2,352","5,396",509
,State Total,,"4,649,676","23,934",477,"1,375",992,"5,695","16,387","160,824","38,337","112,596","9,891"
,,"Rate per 100,000 inhabitants",,514.7,10.3,29.6,21.3,122.5,352.4,"3,458.8",824.5,"2,421.6",212.7
MAINE5,Metropolitan Statistical Area,,"783,169",,,,,,,,,,
,,Area actually reporting,100.0%,984,13,247,187,215,509,"16,216","3,083","12,662",471
,Cities outside metropolitan areas,,"266,485",,,,,,,,,,
,,Area actually reporting,100.0%,476,4,158,121,71,243,"7,036","1,013","5,836",187
,Nonmetropolitan counties,,"280,435",,,,,,,,,,
,,Area actually reporting,100.0%,240,4,80,52,18,138,"3,169",934,"2,094",141
,State Total,,"1,330,089","1,700",21,485,360,304,890,"26,421","5,030","20,592",799
,,"Rate per 100,000 inhabitants",,127.8,1.6,36.5,27.1,22.9,66.9,"1,986.4",378.2,"1,548.2",60.1
MARYLAND,Metropolitan Statistical Area,,"5,823,196",,,,,,,,,,
,,Area actually reporting,100.0%,"26,186",360,"1,583","1,118","9,488","14,755","146,392","27,175","106,222","12,995"
,Cities outside metropolitan areas,,"53,207",,,,,,,,,,
,,Area actually reporting,100.0%,310,2,23,18,43,242,"2,015",347,"1,624",44
,Nonmetropolitan counties,,"100,004",,,,,,,,,,
,,Area actually reporting,100.0%,165,3,13,8,13,136,"1,452",490,899,63
,State Total,,"5,976,407","26,661",365,"1,619","1,144","9,544","15,133","149,859","28,012","108,745","13,102"
,,"Rate per 100,000 inhabitants",,446.1,6.1,27.1,19.1,159.7,253.2,"2,507.5",468.7,"1,819.6",219.2
MASSACHUSETTS5,Metropolitan Statistical Area,,"6,646,017",,,,,,,,,,
,,Area actually reporting,98.2%,"25,694",131,"2,093","1,576","5,940","17,530","121,137","23,956","89,098","8,083"
,,Estimated total,100.0%,"26,077",132,"2,130","1,604","6,010","17,805","123,126","24,348","90,571","8,207"
,Cities outside metropolitan areas,,"91,692",,,,,,,,,,
,,Area actually reporting,76.8%,237,0,30,12,20,187,"1,645",473,"1,131",41
,,Estimated total,100.0%,310,0,41,19,26,243,"2,141",616,"1,472",53
,Nonmetropolitan counties,,"7,699",,,,,,,,,,
,,Area actually reporting,100.0%,12,0,9,6,0,3,0,0,0,0
,State Total,,"6,745,408","26,399",132,"2,180","1,629","6,036","18,051","125,267","24,964","92,043","8,260"
,,"Rate per 100,000 inhabitants",,391.4,2.0,32.3,24.1,89.5,267.6,"1,857.1",370.1,"1,364.5",122.5
MICHIGAN4,Metropolitan Statistical Area,,"8,107,118",,,,,,,,,,
,,Area actually reporting,99.1%,"37,965",504,"4,630","2,989","7,858","24,973","174,589","38,467","115,908","20,214"
,,Estimated total,100.0%,"38,176",505,"4,674","3,021","7,896","25,101","176,132","38,736","117,069","20,327"
,Cities outside metropolitan areas,,"603,680",,,,,,,,,,
,,Area actually reporting,89.6%,"1,324",8,496,309,71,749,"11,588","1,441","9,848",299
,,Estimated total,100.0%,"1,491",9,567,363,79,836,"12,929","1,608","10,987",334
,Nonmetropolitan counties,,"1,199,079",,,,,,,,,,
,,Area actually reporting,96.0%,"2,554",20,971,625,44,"1,519","12,950","3,687","8,787",476
,,Estimated total,100.0%,"2,681",21,"1,032",665,46,"1,582","13,486","3,840","9,150",496
,State Total, ,"9,909,877","42,348",535,"6,273","4,049","8,021","27,519","202,547","44,184","137,206","21,157"
,,"Rate per 100,000 inhabitants",,427.3,5.4,63.3,40.9,80.9,277.7,"2,043.9",445.9,"1,384.5",213.5
MINNESOTA4,Metropolitan Statistical Area,,"4,216,484",,,,,,,,,,
,,Area actually reporting,99.9%,"10,578",77,"1,494","1,095","3,530","5,477","103,320","16,621","79,633","7,066"
,,Estimated total,100.0%,"10,579",77,"1,494","1,095","3,530","5,478","103,337","16,623","79,647","7,067"
,Cities outside metropolitan areas,,"490,823",,,,,,,,,,
,,Area actually reporting,100.0%,"1,110",7,269,199,127,707,"13,223","1,796","10,765",662
,Nonmetropolitan counties,,"749,866",,,,,,,,,,
,,Area actually reporting,100.0%,816,4,238,158,30,544,"8,817","2,354","5,825",638
