NAME,CITY,STATE,NAICS_DESC
ROCKLAND COMMUNITY COLLEGE,SUFFERN,NY,JUNIOR COLLEGES
NEW ENGLAND INSTITUTE OF TECHNOLOGY,EAST GREENWICH,RI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
O'BRIENS AVEDA INSTITUTE,WILLISTON,VT,COSMETOLOGY AND BARBER SCHOOLS
PLATT COLLEGE-ANAHEIM,ANAHEIM,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EMILY GRIFFITH TECHNICAL COLLEGE,DENVER,CO,COSMETOLOGY AND BARBER SCHOOLS
GATEWAY COMMUNITY COLLEGE,NEW HAVEN,CT,JUNIOR COLLEGES
SAYBROOK UNIVERSITY,PASADENA,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EMORY UNIVERSITY,ATLANTA,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CHRISTINA AND COMPANY EDUCATION CENTER,LAFAYETTE,IN,OTHER TECHNICAL AND TRADE SCHOOLS
WOMEN'S INSTITUTE OF TORAH SEMINARY,BALTIMORE,MD,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
YESHIVA GEDOLAH OF CLIFFWOOD,KEYPORT,NJ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SUNCOAST TECHNICAL EDUCATION CENTER,BROOKSVILLE,FL,OTHER TECHNICAL AND TRADE SCHOOLS
INDEPENDENT TRAINING & APPRENTICESHIP PROGRAM,SACRAMENTO,CA,OTHER TECHNICAL AND TRADE SCHOOLS
THE SALON PROFESSIONAL ACADEMY-GEORGETOWN,GEORGETOWN,TX,COSMETOLOGY AND BARBER SCHOOLS
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER-EL PASO,EL PASO,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
HARRISBURG UNIVERSITY OF SCIENCE AND TECHNOLOGY,HARRISBURG,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NEUMONT COLLEGE OF COMPUTER SCIENCE,SALT LAKE CITY,UT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MANHATTAN INSTITUTE,NEW YORK,NY,OTHER TECHNICAL AND TRADE SCHOOLS
"SPRINGFIELD COLLEGE-REGIONAL, ONLINE, AND CONTINUING EDUCATION",SPRINGFIELD,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CHAMBERLAIN UNIVERSITY-GEORGIA,ATLANTA,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FRANCISCAN SCHOOL OF THEOLOGY,OCEANSIDE,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
