Table 5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,
"by State, 2001",,,,,,,,,,,,,,
Area,Population,Crime Index Total,Modified Crime Index Total2,Violent Crime3,Property Crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,,Burglary,Larceny-theft,Motor vehicle theft,Arson2
,,,,,,,,,,,,,,
ALABAMA,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"3,121,024",,,,,,,,,,,,,
   Area actually reporting,92.8%,"145,775",,"14,422","131,353",271,"1,025","4,838","8,288",,"30,504","90,735","10,114",
   Estimated totals,100.0%,"154,595", ,"15,181","139,414",282,"1,073","5,049","8,777",,"32,284","96,469","10,661",
Cities outside metropolitan areas,"532,212",,,,,,,,,,,,,
   Area actually reporting,81.4%,"21,521", ,"2,329","19,192",46,125,343,"1,815",,"3,748","14,570",874,
   Estimated totals,100.0%,"26,454", ,"2,864","23,590",57,154,422,"2,231",,"4,607","17,909","1,074",
Rural,"811,120",,,,,,,,,,,,,
   Area actually reporting,71.7%,"8,456", ,"1,103","7,353",29,102,81,891,,"2,691","4,028",634,
   Estimated totals,100.0%,"11,786", ,"1,537","10,249",40,142,113,"1,242",,"3,751","5,614",884,
State Total,"4,464,356","192,835",,"19,582","173,253",379,"1,369","5,584","12,250",0,"40,642","119,992","12,619",
"   Rate per 100,000 inhabitants",,"4,319.4",,438.6,"3,880.8",8.5,30.7,125.1,274.4,,910.4,"2,687.8",282.7,
,,,,, , , ,, ,, ,, ,
ALASKA,, , , ,, , , , ,, ,, ,
,,,,,, , ,, ,,,,,
Metropolitan Statistical Area,"263,588",,,,,,,,,,,,,
   Area actually reporting,100.0%,"13,214",,"1,748","11,466",10,210,384,"1,144",,"1,606","8,648","1,212",
Cities outside metropolitan areas,"165,145",,,,,,,,,,,,,
   Area actually reporting,76.2%,"6,809",,983,"5,826",12,126,79,766,,772,"4,405",649,
