Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2015",,,,,,,, ,,,,,
State,Area,,Population,"Violent
crime1","Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)2 ","Rape
(legacy
definition)3",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
ALABAMA,Metropolitan Statistical Area,,"3,708,033",,,,,,,,,,
,,Area actually reporting,97.1%,"18,122",283,"1,496","1,080","4,080","12,263","113,447","27,208","78,141","8,098"
,,Estimated total,100.0%,"18,500",287,"1,537","1,111","4,138","12,538","115,920","27,852","79,799","8,269"
,Cities outside metropolitan areas,,"522,241",,,,,,,,,,
,,Area actually reporting,97.4%,"3,178",32,311,218,354,"2,481","20,873","4,438","15,106","1,329"
,,Estimated total,100.0%,"3,240",33,315,222,360,"2,532","21,203","4,518","15,329","1,356"
,Nonmetropolitan counties,,"628,705",,,,,,,,,,
,,Area actually reporting,99.4%,"1,205",28,186,122,112,879,"7,578","2,868","4,004",706
,,Estimated total,100.0%,"1,212",28,187,123,113,884,"7,623","2,885","4,028",710
,State Total,,"4,858,979","22,952",348,"2,039","1,456","4,611","15,954","144,746","35,255","99,156","10,335"
,,"Rate per 100,000 inhabitants",,472.4,7.2,42.0,30.0,94.9,328.3,"2,978.9",725.6,"2,040.7",212.7
ALASKA,Metropolitan Statistical Area,,"351,857",,,,,,,,,,
,,Area actually reporting,100.0%,"3,464",27,541,401,658,"2,238","14,151","1,919","10,884","1,348"
,Cities outside metropolitan areas,,"127,499",,,,,,,,,,
,,Area actually reporting,97.2%,886,10,178,128,60,638,"3,523",530,"2,737",256
,,Estimated total,100.0%,913,10,184,133,62,657,"3,625",545,"2,817",263
,Nonmetropolitan counties,,"259,076",,,,,,,,,,
,,Area actually reporting,100.0%,"1,015",22,176,116,41,776,"3,030","1,047","1,548",435
,State Total,,"738,432","5,392",59,901,650,761,"3,671","20,806","3,511","15,249","2,046"
,,"Rate per 100,000 inhabitants",,730.2,8.0,122.0,88.0,103.1,497.1,"2,817.6",475.5,"2,065.1",277.1
ARIZONA,Metropolitan Statistical Area,,"6,479,810",,,,,,,,,,
,,Area actually reporting,99.7%,"24,725",280,"2,805","2,072","6,239","15,401","198,411","35,919","146,431","16,061"
,,Estimated total,100.0%,"24,781",280,"2,811","2,077","6,251","15,439","198,994","36,015","146,882","16,097"
,Cities outside metropolitan areas, ,"124,240",, ,,,,,,,,
,,Area actually reporting,93.9%,"2,678",24,269,199,91,"2,294","5,854","1,280","4,095",479
,,Estimated total,100.0%,"2,851",26,286,210,97,"2,442","6,233","1,363","4,360",510
,Nonmetropolitan counties, ,"224,015",,,,,,,,,,
,,Area actually reporting,100.0%,380,3,11,7,12,354,"1,880",579,"1,123",178
,State Total,,"6,828,065","28,012",309,"3,108","2,294","6,360","18,235","207,107","37,957","152,365","16,785"
,,"Rate per 100,000 inhabitants",,410.2,4.5,45.5,33.6,93.1,267.1,"3,033.2",555.9,"2,231.5",245.8
ARKANSAS,Metropolitan Statistical Area,,"1,837,196",,,,,,,,,,
,,Area actually reporting,99.9%,"10,724",124,"1,133",838,"1,673","7,794","67,157","14,402","48,559","4,196"
,,Estimated total,100.0%,"10,727",124,"1,134",839,"1,673","7,796","67,180","14,407","48,576","4,197"
,Cities outside metropolitan areas,,"515,124",, ,,,,,,,,
,,Area actually reporting ,89.3%,"2,724",36,406,248,333,"1,949","17,524","4,692","12,108",724
,,Estimated total,100.0%,"3,057",40,462,289,373,"2,182","19,622","5,254","13,557",811
,Nonmetropolitan counties,,"625,884",,,,,,,,,,
,,Area actually reporting,90.1%,"1,559",15,292,143,47,"1,205","9,036","2,683","5,665",688
,,Estimated total,100.0%,"1,742",17,335,172,52,"1,338","10,034","2,979","6,291",764
,State Total,,"2,978,204","15,526",181,"1,931","1,300","2,098","11,316","96,836","22,640","68,424","5,772"
,,"Rate per 100,000 inhabitants",,521.3,6.1,64.8,43.7,70.4,380.0,"3,251.5",760.2,"2,297.5",193.8
CALIFORNIA,Metropolitan Statistical Area,,"38,317,995",,,,,,,,,,
,,Area actually reporting,99.9%,"163,195","1,815","12,411","9,116","52,439","96,530","1,006,421","192,016","645,773","168,632"
,,Estimated total,100.0%,"163,219","1,815","12,413","9,117","52,447","96,544","1,006,607","192,051","645,895","168,661"
,Cities outside metropolitan areas,,"268,497",,,,,,,,,,
,,Area actually reporting,100.0%,"1,630",15,151,106,245,"1,219","9,889","2,189","6,747",953
,Nonmetropolitan counties,,"558,326",,,,,,,,,,
,,Area actually reporting,100.0%,"2,034",31,247,164,170,"1,586","8,418","3,164","3,875","1,379"
,State Total,,"39,144,818","166,883","1,861","12,811","9,387","52,862","99,349","1,024,914","197,404","656,517","170,993"
,,"Rate per 100,000 inhabitants",,426.3,4.8,32.7,24.0,135.0,253.8,"2,618.3",504.3,"1,677.1",436.8
COLORADO,Metropolitan Statistical Area,,"4,763,884",,,,,, ,,,,
,,Area actually reporting,99.9%,"16,306",164,"2,991","2,196","3,235","9,916","131,216","21,077","94,787","15,352"
,,Estimated total,100.0%,"16,308",164,"2,991","2,196","3,235","9,918","131,247","21,081","94,811","15,355"
,Cities outside metropolitan areas,,"335,080",,,,,,,,,,
,,Area actually reporting,96.9%,750,6,167,119,75,502,"9,539","1,440","7,708",391
,,Estimated total,100.0%,771,6,170,122,77,518,"9,842","1,486","7,953",403
,Nonmetropolitan counties,,"357,610",,,,,,,,,,
,,Area actually reporting,98.4%,430,6,95,58,11,318,"2,999",873,"1,888",238
,,Estimated total,100.0%,436,6,96,59,11,323,"3,047",887,"1,918",242
,State Total,,"5,456,574","17,515",176,"3,257","2,377","3,323","10,759","144,136","23,454","104,682","16,000"
,,"Rate per 100,000 inhabitants",,321.0,3.2,59.7,43.6,60.9,197.2,"2,641.5",429.8,"1,918.5",293.2
CONNECTICUT,Metropolitan Statistical Area,,"2,951,843",,,,,,,,,,
,,Area actually reporting,100.0%,"7,441",102,694,521,"2,819","3,826","59,961","9,050","44,991","5,920"
,Cities outside metropolitan areas,,"114,485",,,,,,,,,,
,,Area actually reporting,100.0%,110,1,23,20,27,59,"1,968",269,"1,606",93
,Nonmetropolitan counties,,"524,558",,,,,,,,,,
,,Area actually reporting,100.0%,294,14,56,41,46,178,"3,137",734,"2,078",325
,State Total,,"3,590,886","7,845",117,773,582,"2,892","4,063","65,066","10,053","48,675","6,338"
,,"Rate per 100,000 inhabitants",,218.5,3.3,21.5,16.2,80.5,113.1,"1,812.0",280.0,"1,355.5",176.5
DELAWARE,Metropolitan Statistical Area,,"945,934",,,,,,,,,,
,,Area actually reporting,100.0%,"4,720",63,341,243,"1,235","3,081","25,454","4,772","19,501","1,181"
,Cities outside metropolitan areas,,None,, ,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,100.0%,0,0,0,0,0,0,1,1,0,0
,State Total,,"945,934","4,720",63,341,243,"1,235","3,081","25,455","4,773","19,501","1,181"
,,"Rate per 100,000 inhabitants",,499.0,6.7,36.0,25.7,130.6,325.7,"2,691.0",504.6,"2,061.6",124.9
DISTRICT OF COLUMBIA4,Metropolitan Statistical Area,,"672,228",,,,,,,,,,
,,Area actually reporting,100.0%,"8,531",162,494,366,"3,742","4,133","31,435","2,971","25,200","3,264"
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,Total,,"672,228","8,531",162,494,366,"3,742","4,133","31,435","2,971","25,200","3,264"
,,"Rate per 100,000 inhabitants",,"1,269.1",24.1,73.5,54.4,556.7,614.8,"4,676.2",442.0,"3,748.7",485.5
FLORIDA,Metropolitan Statistical Area,,"19,564,380", ,,,,,, ,,,
,,Area actually reporting,99.8%,"89,825",999,"7,321","5,273","20,811","60,694","553,343","104,601","408,936","39,806"
,,Estimated total,100.0%,"89,966","1,000","7,334","5,283","20,843","60,789","554,303","104,776","409,655","39,872"
,Cities outside metropolitan areas,,"147,871",,,,,,,,,,
,,Area actually reporting,96.6%,"1,032",12,54,37,160,806,"5,799","1,224","4,299",276
,,Estimated total,100.0%,"1,067",12,55,38,166,834,"6,001","1,267","4,448",286
,Nonmetropolitan counties,,"559,021",,,,,,,,,,
,,Area actually reporting,98.5%,"2,555",29,162,108,126,"2,238","9,815","3,176","6,144",495
,,Estimated total,100.0%,"2,593",29,164,109,128,"2,272","9,966","3,225","6,238",503
,State Total,,"20,271,272","93,626","1,041","7,553","5,430","21,137","63,895","570,270","109,268","420,341","40,661"
,,"Rate per 100,000 inhabitants",,461.9,5.1,37.3,26.8,104.3,315.2,"2,813.2",539.0,"2,073.6",200.6
GEORGIA5,Metropolitan Statistical Area,,"8,441,820",,,,,,,,,,
,,Area actually reporting,97.2%,"32,186",508,"2,568","1,845","11,058","18,052","253,823","53,387","176,339","24,097"
,,Estimated total,100.0%,"32,948",518,"2,631","1,891","11,314","18,485","260,183","54,795","180,700","24,688"
,Cities outside metropolitan areas,,"643,253",,,,,,,,,,
,,Area actually reporting,92.6%,"2,910",41,258,191,691,"1,920","26,480","5,213","20,516",751
,,Estimated total,100.0%,"3,132",44,269,202,746,"2,073","28,595","5,629","22,155",811
,Nonmetropolitan counties,,"1,129,787",,,,,,,,,,
,,Area actually reporting,91.1%,"2,334",48,294,186,170,"1,822","18,179","5,423","11,860",896
,,Estimated total,100.0%,"2,563",53,324,203,187,"1,999","19,945","5,950","13,012",983
,State Total,,"10,214,860","38,643",615,"3,224","2,296","12,247","22,557","308,723","66,374","215,867","26,482"
,,"Rate per 100,000 inhabitants",,378.3,6.0,31.6,22.5,119.9,220.8,"3,022.3",649.8,"2,113.3",259.2
HAWAII,Metropolitan Statistical Area,,"1,164,233",,,,,,,,,,
,,Area actually reporting,100.0%,"2,994",19,412,302,"1,009","1,554","37,090","5,291","27,346","4,453"
,Cities outside metropolitan areas,,None,, ,,,,,,,,
,Nonmetropolitan counties,,"267,370",,,,,,,,,,
,,Estimated total,100.0%,"1,207",0,149,98,194,864,"17,256","1,266","14,664","1,326"
,State Total, ,"1,431,603","4,201",19,561,400,"1,203","2,418","54,346","6,557","42,010","5,779"
,,"Rate per 100,000 inhabitants",,293.4,1.3,39.2,27.9,84.0,168.9,"3,796.2",458.0,"2,934.5",403.7
IDAHO,Metropolitan Statistical Area,,"1,104,754",,,,,,, ,,,
,,Area actually reporting,99.9%,"2,537",19,497,369,150,"1,871","20,974","4,039","15,529","1,406"
,,Estimated total,100.0%,"2,538",19,497,369,150,"1,872","20,984","4,041","15,536","1,407"
,Cities outside metropolitan areas,,"253,084",,,,,,,,,,
,,Area actually reporting,100.0%,598,7,122,104,34,435,"4,927","1,056","3,644",227
,Nonmetropolitan counties, ,"297,092",,,,,,,, ,,
,,Area actually reporting,100.0%,432,6,75,60,8,343,"2,947","1,027","1,683",237
,State Total,,"1,654,930","3,568",32,694,533,192,"2,650","28,858","6,124","20,863","1,871"
,,"Rate per 100,000 inhabitants",,215.6,1.9,41.9,32.2,11.6,160.1,"1,743.8",370.0,"1,260.7",113.1
ILLINOIS,Metropolitan Statistical Area,,"11,374,234",,,,,,,,,,
,,Area actually reporting,96.3%,"44,926",690,"4,050","2,989","14,460","25,726","226,018","40,306","169,148","16,564"
,,Estimated total,100.0%,"45,743",697,"4,186","3,093","14,654","26,206","232,866","41,454","174,548","16,864"
,Cities outside metropolitan areas,,"829,658",,,,,,,,,,
,,Area actually reporting,83.3%,"2,168",18,357,257,182,"1,611","14,824","2,931","11,494",399
,,Estimated total,100.0%,"2,601",22,426,316,218,"1,935","17,801","3,520","13,802",479
,Nonmetropolitan counties,,"656,103",,,,,,,,,,
,,Area actually reporting,94.2%,950,24,195,131,36,695,"4,766","1,383","3,092",291
,,Estimated total,100.0%,"1,010",25,209,140,38,738,"5,062","1,469","3,284",309
,State Total,,"12,859,995","49,354",744,"4,821","3,549","14,910","28,879","255,729","46,443","191,634","17,652"
,,"Rate per 100,000 inhabitants",,383.8,5.8,37.5,27.6,115.9,224.6,"1,988.6",361.1,"1,490.2",137.3
INDIANA6,Metropolitan Statistical Area,,"5,150,613",,,,,,,,,,
