Table 3,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,
"by State, 2016",,,,,,,, ,,,,,,,,
State,Area,,Population,"Violent
crime1","Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition2) ","Rape
(legacy
definition3)",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",,,
ALABAMA,Metropolitan Statistical Area,,"3,716,889",,,,,,,,,,,,,
,,Area actually reporting,99.2%,"20,793",331,"1,489","1,084","4,174","14,799","114,605","26,966","78,072","9,567",,,
,,Estimated total,100.0%,"20,949",332,"1,498","1,091","4,200","14,919","115,564","27,156","78,771","9,637",,,
,Cities outside metropolitan areas,,"520,422",,,,,,,,,,,,,
,,Area actually reporting,96.6%,"3,551",41,263,187,410,"2,837","19,841","4,173","14,332","1,336",, ,
,,Estimated total,100.0%,"3,646",42,269,193,421,"2,914","20,291","4,275","14,641","1,375",,,
,Nonmetropolitan counties,,"625,989",,,,,,,,,,,,,
,,Area actually reporting,94.5%,"1,220",31,141,95,61,987,"7,096","2,490","3,934",672,,,
,,Estimated total,100.0%,"1,291",33,149,101,65,"1,044","7,507","2,634","4,162",711,,,
,State Total,,"4,863,300","25,886",407,"1,916","1,385","4,686","18,877","143,362","34,065","97,574","11,723",,,
,,"Rate per 100,000 inhabitants",,532.3,8.4,39.4,28.5,96.4,388.2,"2,947.8",700.5,"2,006.3",241.1,,,
ALASKA,Metropolitan Statistical Area,,"350,298",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"3,751",35,583,439,741,"2,392","17,143","2,243","12,620","2,280",,,
,Cities outside metropolitan areas,,"128,053",,,,,,,,,,,,,
,,Area actually reporting,97.4%,964,2,165,119,71,726,"4,069",655,"3,101",313,,,
,,Estimated total,100.0%,989,2,169,123,73,745,"4,177",672,"3,184",321,,,
,Nonmetropolitan counties,,"263,543",,,,,,,,,,,,,
,,Area actually reporting,100.0%,"1,226",15,301,195,36,874,"3,556","1,138","1,962",456,,,
,State Total,,"741,894","5,966",52,"1,053",757,850,"4,011","24,876","4,053","17,766","3,057",,,
,,"Rate per 100,000 inhabitants",,804.2,7.0,141.9,102.0,114.6,540.6,"3,353.0",546.3,"2,394.7",412.1,,,
ARIZONA,Metropolitan Statistical Area,,"6,583,506",,,,,,,,,,,,,
,,Area actually reporting,98.3%,"27,522",334,"2,997","2,238","6,931","17,260","196,398","35,424","143,602","17,372",,,
,,Estimated total,100.0%,"27,789",338,"3,025","2,258","6,971","17,455","198,543","35,844","145,152","17,547",,,
,Cities outside metropolitan areas, ,"124,210",, ,,,,,,,,,,,
,,Area actually reporting,100.0%,"4,342",32,250,184,65,"3,995","5,937","1,199","4,069",669,,,
,Nonmetropolitan counties, ,"223,355",,,,,,,,,,,,,
,,Area actually reporting,100.0%,452,10,15,10,19,408,"1,952",693,"1,054",205,,,
,State Total,,"6,931,071","32,583",380,"3,290","2,452","7,055","21,858","206,432","37,736","150,275","18,421",,,
