o_state_name,leave_pop,total_pop,proportion
Alabama,97078,496175,0.19565274348768075
Alaska,26220,84444,0.31050163421912746
Arizona,121547,548020,0.22179300025546514
Arkansas,70776,326091,0.21704370865801265
California,524612,3587094,0.14624986130834597
Colorado,114532,471778,0.24276672502744936
Connecticut,112076,372555,0.3008307498221739
DC,154291,483049,0.3194106602021741
Delaware,32971,119404,0.27612977789688786
Florida,352632,1649835,0.21373773741010466
Georgia,214414,1023814,0.20942671227390913
Hawaii,34754,119645,0.29047599147477954
Idaho,42894,138188,0.3104032188033693
Illinois,300055,1342428,0.2235166429782454
Indiana,160627,750132,0.21413164616360852
Iowa,78771,315285,0.24984062039107474
Kansas,71312,235881,0.3023219335173244
Kentucky,75206,428828,0.17537567509584262
Louisiana,91349,532257,0.17162573719086832
Maine,34058,122959,0.27698663782236355
Maryland,83782,323587,0.2589164583249636
Massachusetts,141590,591577,0.23934331456429173
Michigan,236605,1113176,0.21254949801289283
Minnesota,121475,593620,0.20463427782082813
Mississippi,76852,335616,0.22898789092295957
Missouri,158803,775590,0.20475122165061438
Montana,31337,105351,0.2974532752418107
Nebraska,48043,210611,0.2281124917501935
Nevada,74603,237468,0.3141602236932976
New Hampshire,57034,163429,0.3489833505681366
New Jersey,199210,703790,0.2830531834780261
New Mexico,58785,196023,0.2998882784163083
New York,369506,1804680,0.20474876432386904
North Carolina,179773,928204,0.19367832933277598
North Dakota,21565,87918,0.24528537955822471
Ohio,266062,1401075,0.1898984708170512
Oklahoma,71666,360472,0.19881155817927607
Oregon,94296,395422,0.2384692809201309
Pennsylvania,322836,1596292,0.20224119396701856
Rhode Island,43627,166014,0.26279108990808003
South Carolina,85431,405989,0.21042688348699104
South Dakota,26966,92695,0.29091105237607207
Tennessee,132153,697532,0.18945797468789963
Texas,315286,2550270,0.12362847855325122
Utah,55058,307288,0.1791739345499987
Vermont,28012,79351,0.35301382465249337
Virginia,150614,587564,0.2563363310209611
Washington,138339,641198,0.21575082891712077
West Virginia,33758,141266,0.23896762136678323
Wisconsin,132409,626169,0.2114588872971993
Wyoming,25568,67370,0.3795161050912869
