"","o_state_name","income","inc_n"
"1","ALABAMA","Q1",138516
"2","ALABAMA","Q2",110106
"3","ALABAMA","Q3",91472
"4","ALABAMA","Q4",85151
"5","ALABAMA","Q5",70994
"6","ALASKA","Q1",10984
"7","ALASKA","Q2",14815
"8","ALASKA","Q3",18735
"9","ALASKA","Q4",19937
"10","ALASKA","Q5",20070
"11","ARIZONA","Q1",105351
"12","ARIZONA","Q2",118767
"13","ARIZONA","Q3",113757
"14","ARIZONA","Q4",107484
"15","ARIZONA","Q5",102681
"16","ARKANSAS","Q1",85784
"17","ARKANSAS","Q2",75062
"18","ARKANSAS","Q3",74244
"19","ARKANSAS","Q4",56725
"20","ARKANSAS","Q5",34377
"21","CALIFORNIA","Q1",658979
"22","CALIFORNIA","Q2",718010
"23","CALIFORNIA","Q3",767388
"24","CALIFORNIA","Q4",638464
"25","CALIFORNIA","Q5",804360
"26","COLORADO","Q1",61976
"27","COLORADO","Q2",81549
"28","COLORADO","Q3",95452
"29","COLORADO","Q4",107132
"30","COLORADO","Q5",125767
"31","CONNECTICUT","Q1",45875
"32","CONNECTICUT","Q2",57904
"33","CONNECTICUT","Q3",58114
"34","CONNECTICUT","Q4",76664
"35","CONNECTICUT","Q5",134002
"36","DC","Q1",57628
"37","DC","Q2",85688
"38","DC","Q3",80066
"39","DC","Q4",74290
"40","DC","Q5",185380
"41","DELAWARE","Q1",21120
"42","DELAWARE","Q2",24382
"43","DELAWARE","Q3",22113
"44","DELAWARE","Q4",25364
"45","DELAWARE","Q5",26434
"46","FLORIDA","Q1",390600
"47","FLORIDA","Q2",384120
"48","FLORIDA","Q3",322611
"49","FLORIDA","Q4",283294
"50","FLORIDA","Q5",269284
"51","GEORGIA","Q1",271684
"52","GEORGIA","Q2",230012
"53","GEORGIA","Q3",175518
"54","GEORGIA","Q4",168566
"55","GEORGIA","Q5",178214
"56","HAWAII","Q1",17707
"57","HAWAII","Q2",23039
"58","HAWAII","Q3",26489
"59","HAWAII","Q4",29116
"60","HAWAII","Q5",23316
"61","IDAHO","Q1",17996
"62","IDAHO","Q2",23387
"63","IDAHO","Q3",38509
"64","IDAHO","Q4",35672
"65","IDAHO","Q5",22668
"66","ILLINOIS","Q1",219583
"67","ILLINOIS","Q2",243838
"68","ILLINOIS","Q3",244857
"69","ILLINOIS","Q4",292095
"70","ILLINOIS","Q5",342152
"71","INDIANA","Q1",115707
"72","INDIANA","Q2",134544
"73","INDIANA","Q3",165591
"74","INDIANA","Q4",195121
"75","INDIANA","Q5",139265
"76","IOWA","Q1",34896
"77","IOWA","Q2",50591
"78","IOWA","Q3",79854
"79","IOWA","Q4",94441
"80","IOWA","Q5",55626
"81","KANSAS","Q1",32657
"82","KANSAS","Q2",41591
"83","KANSAS","Q3",60744
"84","KANSAS","Q4",63587
"85","KANSAS","Q5",37491
"86","KENTUCKY","Q1",87984
"87","KENTUCKY","Q2",87377
"88","KENTUCKY","Q3",100676
"89","KENTUCKY","Q4",92270
"90","KENTUCKY","Q5",60644
"91","LOUISIANA","Q1",166644
"92","LOUISIANA","Q2",113840
"93","LOUISIANA","Q3",92064
"94","LOUISIANA","Q4",88117
"95","LOUISIANA","Q5",71674
"96","MAINE","Q1",18742
"97","MAINE","Q2",23479
"98","MAINE","Q3",31531
"99","MAINE","Q4",30300
"100","MAINE","Q5",18928
"101","MARYLAND","Q1",54121
"102","MARYLAND","Q2",67243
"103","MARYLAND","Q3",52909
"104","MARYLAND","Q4",58886
"105","MARYLAND","Q5",90441
"106","MASSACHUSETTS","Q1",72294
"107","MASSACHUSETTS","Q2",90733
"108","MASSACHUSETTS","Q3",96402
"109","MASSACHUSETTS","Q4",129058
"110","MASSACHUSETTS","Q5",203117
"111","MICHIGAN","Q1",190183
"112","MICHIGAN","Q2",193252
"113","MICHIGAN","Q3",221468
"114","MICHIGAN","Q4",260747
"115","MICHIGAN","Q5",247631
"116","MINNESOTA","Q1",60872
"117","MINNESOTA","Q2",86683
"118","MINNESOTA","Q3",117215
"119","MINNESOTA","Q4",166379
"120","MINNESOTA","Q5",162613
"121","MISSISSIPPI","Q1",120781
