"state_sum","Business","Junior","Computer","EduServ","Flight","General","Cosme_Barber","Arts","Other","NAME","leave_pop","leave_prop","movein_pop","movein_prop","Robbery10","Burglary10","Robbey00","Burglary00"
699,4,179,2,23,0,242,110,2,137,"CALIFORNIA",524612,0.146249861308346,504578,0.141454867594041,141.475,553.6875,184.785714285714,672.6
75,1,17,0,0,0,26,9,0,22,"CONNECTICUT",112076,0.300830749822174,55843,0.176538463970258,90.6625,346.4625,115.414285714286,463.457142857143
19,2,2,0,1,0,6,4,0,4,"DELAWARE",32971,0.276129777896888,30891,0.263296512222563,148.7125,649.3125,170.185714285714,693.171428571429
346,2,75,4,0,4,102,74,0,85,"FLORIDA",352632,0.213737737410105,410194,0.240245238805035,116.4375,683.35,192.414285714286,1012.27142857143
171,8,34,1,0,1,59,38,1,29,"MICHIGAN",236605,0.212549498012893,86488,0.0898055051663501,90.6875,538.975,128.971428571429,715.157142857143
165,5,27,0,0,0,57,29,1,46,"NEWJERSEY",199210,0.283053183478026,87275,0.147460104248507,118.9,378.2875,156.171428571429,488.328571428571
448,4,74,5,2,1,228,42,5,87,"NEWYORK",369506,0.204748764323869,361932,0.201397135171771,129.35,268.4125,186.557142857143,389.228571428571
297,1,83,1,1,0,91,41,3,76,"OHIO",266062,0.189898470817051,144815,0.113151923539726,120.4375,742.5875,154.571428571429,853.257142857143
108,2,21,0,1,0,31,23,0,30,"OKLAHOMA",71666,0.198811558179276,90931,0.239457835291267,81.4125,839.6,86.2285714285714,975.071428571429
344,1,67,1,1,1,153,48,2,70,"PENNSYLVANIA",322836,0.202241193967019,203769,0.137940394997377,111.2125,367.0625,150.628571428571,447.842857142857
157,1,29,0,1,0,59,31,0,36,"TENNESSEE",132153,0.1894579746879,191623,0.253134073621998,119.4625,774.675,171.114285714286,1034.18571428571
421,1,106,1,7,2,130,111,2,61,"TEXAS",315286,0.123628478553251,467218,0.172902691952711,117.95,680.95,161.157142857143,952.628571428571
10,0,1,0,1,0,6,0,0,2,"ALASKA",26220,0.310501634219127,34417,0.371509374898803,95.7375,455.175,80.0142857142857,601.071428571429
83,0,30,0,1,0,35,10,0,7,"ALABAMA",97078,0.195652743487681,84843,0.175317188081167,97.1,837.125,139.314285714286,947.071428571429
88,0,26,0,2,0,26,23,0,11,"ARKANSAS",70776,0.217043708658013,62445,0.196516238670695,74.2125,939.8375,89.5428571428571,964.742857142857
116,0,40,1,2,0,31,26,3,13,"ARIZONA",121547,0.221793000255465,183772,0.301144622241886,103.2375,683.1875,148.885714285714,994.8
106,0,30,0,2,0,41,20,2,11,"COLORADO",114532,0.242766725027449,245698,0.407497213671585,62.725,463.775,78.4,672.742857142857
149,0,44,0,0,1,66,23,1,14,"GEORGIA",214414,0.209426712273909,261922,0.244484851426555,119.9625,777.8875,164.928571428571,893.728571428571
23,0,8,0,1,0,10,2,0,2,"HAWAII",34754,0.29047599147478,47822,0.360341488776533,76.95,536.275,89.9428571428572,839.314285714286
85,0,18,0,0,0,43,21,0,3,"IOWA",78771,0.249840620391075,56159,0.191883091368182,33.1625,510.5625,40.0428571428571,592.057142857143
38,0,5,0,0,0,12,18,1,2,"IDAHO",42894,0.310403218803369,43130,0.311578916950818,12.7875,397.7125,18.0142857142857,543.242857142857
258,0,62,0,6,0,103,63,0,24,"ILLINOIS",300055,0.223516642978245,206325,0.165232105761361,139.2125,457.4625,191.728571428571,621.471428571429
112,0,9,0,0,1,62,28,0,12,"INDIANA",160627,0.214131646163609,112520,0.160279192336455,104.1875,616.1125,111.242857142857,700.928571428571
78,0,28,0,0,0,35,12,0,3,"KANSAS",71312,0.302321933517324,54229,0.247849614713114,53.95,578.7625,76.3,747.285714285714
91,0,23,0,1,0,35,22,1,9,"KENTUCKY",75206,0.175375675095843,80044,0.184575226095659,77.2625,583.5,83.4571428571429,651.685714285714
120,0,30,0,2,0,32,35,0,21,"LOUISIANA",91349,0.171625737190868,83580,0.159355409465993,117.8875,859.5375,150.571428571429,1006.35714285714
161,0,25,0,1,1,87,20,1,26,"MASSACHUSETTS",141590,0.239343314564292,153345,0.254163545112807,90.45,416.6875,111.614285714286,526.828571428571
85,0,21,0,2,0,36,17,1,8,"MARYLAND",83782,0.258916458324964,84970,0.26162728042491,173.85,506.75,249.085714285714,702.285714285714
39,0,11,0,1,0,20,3,1,3,"MAINE",34058,0.276986637822364,20981,0.19094119145993,25.1125,434.4375,23.2714285714286,515.385714285714
104,0,37,0,0,0,52,12,0,3,"MINNESOTA",121475,0.204634277820828,97200,0.170722496904337,66.05,404.8375,85.0857142857143,554.742857142857
162,0,31,2,1,1,70,29,1,27,"MISSOURI",158803,0.204751221650614,146362,0.19178692496485,100.2625,622.775,126.028571428571,745.728571428571
58,0,19,0,2,0,18,16,0,3,"MISSISSIPPI",76852,0.22898789092296,45376,0.149194449924377,80.2375,886.4375,102.8,981.328571428571
32,0,9,0,0,0,15,6,0,2,"MONTANA",31337,0.297453275241811,35341,0.323176809473732,20.7,367.6125,24.6857142857143,375.185714285714
173,0,67,1,1,0,71,24,1,8,"NORTHCAROLINA",179773,0.193678329332776,281472,0.273299524324135,93.3,875,151.2,1209.87142857143
28,0,9,0,0,0,11,6,0,2,"NORTHDAKOTA",21565,0.245285379558225,39398,0.372554396648731,19.8625,371.6,9.27142857142857,336.214285714286
47,0,13,0,1,0,26,7,0,0,"NEBRASKA",48043,0.228112491750193,44197,0.213754745725824,54.325,414.0125,66.2142857142857,559.257142857143
39,0,8,0,1,0,17,10,1,2,"NEWHAMPSHIRE",57034,0.348983350568137,37892,0.262615481644223,36.7375,327.825,33.4142857142857,364.642857142857
48,0,22,0,0,0,17,7,0,2,"NEWMEXICO",58785,0.299888278416308,49052,0.263309893177304,108.1875,937.475,118.828571428571,1064.75714285714
41,0,9,0,1,0,13,9,0,9,"NEVADA",74603,0.314160223693298,113948,0.411642516789313,190.3125,756.0875,239.114285714286,929.4
80,0,23,1,0,0,32,16,2,6,"OREGON",94296,0.238469280920131,129668,0.300997692632674,57.875,482.425,76.9714285714286,723.257142857143
23,0,1,0,0,0,13,4,0,5,"RHODEISLAND",43627,0.26279108990808,31811,0.206299692603017,59.5625,479.5625,79.3857142857143,555.042857142857
97,0,27,0,0,0,39,24,0,7,"SOUTHCAROLINA",85431,0.210426883486991,114785,0.263665661329113,87.425,820.8,138.171428571429,1001.18571428571
29,0,4,0,0,0,19,3,0,3,"SOUTHDAKOTA",26966,0.290911052376072,25353,0.278353571506994,23.05,358.2,15.4142857142857,361.185714285714
69,0,13,1,0,0,21,26,0,8,"UTAH",55058,0.179173934549999,92429,0.26817521086059,44.0375,441.4125,51.1,626.714285714286
150,0,43,0,0,0,72,21,0,14,"VIRGINIA",150614,0.256336331020961,170679,0.280893439911525,57.9125,304,95.6857142857143,416.728571428571
25,0,3,0,1,0,19,1,0,1,"VERMONT",28012,0.353013824652493,20319,0.283555220631332,14.25,444.3125,14.4428571428571,521.885714285714
101,0,39,0,0,0,34,19,0,9,"WASHINGTON",138339,0.215750828917121,204325,0.288927634109369,80.4625,765.6125,96.0428571428571,904.942857142857
100,0,19,0,1,0,56,20,0,4,"WISCONSIN",132409,0.211458887297199,89054,0.152800035688916,82.175,399.1125,87.6714285714286,484.314285714286
74,0,18,0,0,0,25,5,0,26,"WESTVIRGINIA",33758,0.238967621366783,24602,0.186223601544168,39.825,528.0125,42.2714285714286,575.871428571429
10,0,8,0,0,0,1,1,0,0,"WYOMING",25568,0.379516105091287,27340,0.395418125018079,11.4875,322.575,16,472.9
