"Area","Latitude","Longitude","prop_movein","prop_leave","early_meanRobbery","early_meanBurglary","later_meanRobbery","later_meanBurglary"
"WISCONSIN",44.5,-89.5,0.152800035688916,0.211458887297199,87.6714285714286,484.314285714286,82.175,399.1125
"WESTVIRGINIA",39,-80.5,0.186223601544168,0.238967621366783,42.2714285714286,575.871428571429,39.825,528.0125
"VERMONT",44,-72.7,0.283555220631332,0.353013824652493,14.4428571428571,521.885714285714,14.25,444.3125
"TEXAS",31,-100,0.172902691952711,0.123628478553251,161.157142857143,952.628571428571,117.95,680.95
"SOUTHDAKOTA",44.5,-100,0.278353571506994,0.290911052376072,15.4142857142857,361.185714285714,23.05,358.2
"RHODEISLAND",41.742,-71.742,0.206299692603017,0.26279108990808,79.3857142857143,555.042857142857,59.5625,479.5625
"OREGON",44,-120.5,0.300997692632674,0.238469280920131,76.9714285714286,723.257142857143,57.875,482.425
"NEWYORK",43,-75,0.201397135171771,0.204748764323869,186.557142857143,389.228571428571,129.35,268.4125
"NEWHAMPSHIRE",44,-71.5,0.262615481644223,0.348983350568137,33.4142857142857,364.642857142857,36.7375,327.825
"NEBRASKA",41.5,-100,0.213754745725824,0.228112491750193,66.2142857142857,559.257142857143,54.325,414.0125
"KANSAS",38.5,-98,0.247849614713114,0.302321933517324,76.3,747.285714285714,53.95,578.7625
"MISSISSIPPI",33,-90,0.149194449924377,0.22898789092296,102.8,981.328571428571,80.2375,886.4375
"ILLINOIS",40,-89,0.165232105761361,0.223516642978245,191.728571428571,621.471428571429,139.2125,457.4625
"DELAWARE",39,-75.5,0.263296512222563,0.276129777896888,170.185714285714,693.171428571429,148.7125,649.3125
"CONNECTICUT",41.6,-72.7,0.176538463970258,0.300830749822174,115.414285714286,463.457142857143,90.6625,346.4625
"ARKANSAS",34.8,-92.2,0.196516238670695,0.217043708658013,89.5428571428571,964.742857142857,74.2125,939.8375
"INDIANA",40.274,-86.127,0.160279192336455,0.214131646163609,111.242857142857,700.928571428571,104.1875,616.1125
"MISSOURI",38.574,-92.604,0.19178692496485,0.204751221650614,126.028571428571,745.728571428571,100.2625,622.775
"FLORIDA",27.994,-81.76,0.240245238805035,0.213737737410105,192.414285714286,1012.27142857143,116.4375,683.35
"NEVADA",39.876,-117.224,0.411642516789313,0.314160223693298,239.114285714286,929.4,190.3125,756.0875
"MAINE",45.368,-68.972,0.19094119145993,0.276986637822364,23.2714285714286,515.385714285714,25.1125,434.4375
"MICHIGAN",44.182,-84.507,0.0898055051663501,0.212549498012893,128.971428571429,715.157142857143,90.6875,538.975
"GEORGIA",33.248,-83.441,0.244484851426555,0.209426712273909,164.928571428571,893.728571428571,119.9625,777.8875
"HAWAII",19.742,-155.844,0.360341488776533,0.29047599147478,89.9428571428572,839.314285714286,76.95,536.275
"ALASKA",66.161,-153.369,0.371509374898803,0.310501634219127,80.0142857142857,601.071428571429,95.7375,455.175
"TENNESSEE",35.86,-86.66,0.253134073621998,0.1894579746879,171.114285714286,1034.18571428571,119.4625,774.675
"VIRGINIA",37.927,-78.025,0.280893439911525,0.256336331020961,95.6857142857143,416.728571428571,57.9125,304
"NEWJERSEY",39.834,-74.872,0.147460104248507,0.283053183478026,156.171428571429,488.328571428571,118.9,378.2875
"KENTUCKY",37.839,-84.27,0.184575226095659,0.175375675095843,83.4571428571429,651.685714285714,77.2625,583.5
"NORTHDAKOTA",47.651,-100.437,0.372554396648731,0.245285379558225,9.27142857142857,336.214285714286,19.8625,371.6
"MINNESOTA",46.392,-94.636,0.170722496904337,0.204634277820828,85.0857142857143,554.742857142857,66.05,404.8375
"OKLAHOMA",36.085,-96.921,0.239457835291267,0.198811558179276,86.2285714285714,975.071428571429,81.4125,839.6
"MONTANA",46.965,-109.534,0.323176809473732,0.297453275241811,24.6857142857143,375.185714285714,20.7,367.6125
"WASHINGTON",47.751,-120.74,0.288927634109369,0.215750828917121,96.0428571428571,904.942857142857,80.4625,765.6125
"UTAH",39.419,-111.951,0.26817521086059,0.179173934549999,51.1,626.714285714286,44.0375,441.4125
"COLORADO",39.113,-105.359,0.407497213671585,0.242766725027449,78.4,672.742857142857,62.725,463.775
"OHIO",40.367,-82.996,0.113151923539726,0.189898470817051,154.571428571429,853.257142857143,120.4375,742.5875
"ALABAMA",32.318,-86.902,0.175317188081167,0.195652743487681,139.314285714286,947.071428571429,97.1,837.125
"IOWA",42.033,-93.582,0.191883091368182,0.249840620391075,40.0428571428571,592.057142857143,33.1625,510.5625
"NEWMEXICO",34.307,-106.018,0.263309893177304,0.299888278416308,118.828571428571,1064.75714285714,108.1875,937.475
"SOUTHCAROLINA",33.836,-81.164,0.263665661329113,0.210426883486991,138.171428571429,1001.18571428571,87.425,820.8
"PENNSYLVANIA",41.203,-77.195,0.137940394997377,0.202241193967019,150.628571428571,447.842857142857,111.2125,367.0625
"ARIZONA",34.049,-111.094,0.301144622241886,0.221793000255465,148.885714285714,994.8,103.2375,683.1875
"MARYLAND",39.046,-76.641,0.26162728042491,0.258916458324964,249.085714285714,702.285714285714,173.85,506.75
"MASSACHUSETTS",42.407,-71.382,0.254163545112807,0.239343314564292,111.614285714286,526.828571428571,90.45,416.6875
"CALIFORNIA",36.778,-119.418,0.141454867594041,0.146249861308346,184.785714285714,672.6,141.475,553.6875
"IDAHO",44.068,-114.742,0.311578916950818,0.310403218803369,18.0142857142857,543.242857142857,12.7875,397.7125
"WYOMING",43.076,-107.29,0.395418125018079,0.379516105091287,16,472.9,11.4875,322.575
"NORTHCAROLINA",35.782,-80.793,0.273299524324135,0.193678329332776,151.2,1209.87142857143,93.3,875
"LOUISIANA",30.392,-92.329,0.159355409465993,0.171625737190868,150.571428571429,1006.35714285714,117.8875,859.5375
