"State","Robbery","Burglary","year"
"ALABAMA",99.6,879.4,"2010"
"ALASKA",83.6,437.2,"2010"
"ARIZONA",108.5,794.3,"2010"
"ARKANSAS",81.3,1114.9,"2010"
"CALIFORNIA",156,614.3,"2010"
"COLORADO",62.3,520,"2010"
"CONNECTICUT",99.4,424.5,"2010"
"DELAWARE",203.7,836.9,"2010"
"FLORIDA",138.7,899.5,"2010"
"GEORGIA",127.7,998.4,"2010"
"HAWAII",77.5,636.8,"2010"
"IDAHO",13.7,414.8,"2010"
"ILLINOIS",156.3,587.6,"2010"
"INDIANA",95.9,726.7,"2010"
"IOWA",33.2,546.8,"2010"
"KANSAS",54.1,680.1,"2010"
"KENTUCKY",86.4,698.5,"2010"
"LOUISIANA",114.9,1002.2,"2010"
"MAINE",31.2,554,"2010"
"MARYLAND",191.5,632.9,"2010"
"MASSACHUSETTS",105,576.8,"2010"
"MICHIGAN",116.3,747.4,"2010"
"MINNESOTA",63.9,460.3,"2010"
"MISSISSIPPI",93.7,1026,"2010"
"MISSOURI",102.4,735.4,"2010"
"MONTANA",15.9,369.3,"2010"
"NEBRASKA",56.1,455.9,"2010"
"NEVADA",196.2,823,"2010"
"NEWHAMPSHIRE",34.3,413.3,"2010"
"NEWJERSEY",134.4,440.5,"2010"
"NEWMEXICO",78.4,1020.5,"2010"
"NEWYORK",146.9,335.3,"2010"
"NORTHCAROLINA",100.8,1076.9,"2010"
"NORTHDAKOTA",13.4,292.3,"2010"
"OHIO",142.8,923.3,"2010"
"OKLAHOMA",89,999,"2010"
"OREGON",62.4,512.6,"2010"
"PENNSYLVANIA",128.8,434.3,"2010"
"RHODEISLAND",74.1,581.5,"2010"
"SOUTHCAROLINA",107.7,997.9,"2010"
"SOUTHDAKOTA",18.9,390.7,"2010"
"TENNESSEE",131.8,1012.2,"2010"
"TEXAS",130.6,909.1,"2010"
"UTAH",45.9,543.3,"2010"
"VERMONT",11.8,537.9,"2010"
"VIRGINIA",70.7,382.8,"2010"
"WASHINGTON",88.2,820.3,"2010"
"WESTVIRGINIA",44.7,580.5,"2010"
"WISCONSIN",79.2,467.1,"2010"
"WYOMING",13.5,381.3,"2010"
"ALABAMA",102.2,1064.3,"2011"
"ALASKA",79.7,391,"2011"
"ARIZONA",109.9,847.3,"2011"
"ARKANSAS",82.6,1173.3,"2011"
"CALIFORNIA",144,610.4,"2011"
"COLORADO",64.6,503.6,"2011"
"CONNECTICUT",102.7,437.9,"2011"
"DELAWARE",169.5,830.2,"2011"
"FLORIDA",134.4,892.9,"2011"
"GEORGIA",123.8,974.6,"2011"
"HAWAII",75.8,728,"2011"
"IDAHO",11.6,436.6,"2011"
"ILLINOIS",157.4,604.1,"2011"
"INDIANA",107.1,775.7,"2011"
"IOWA",26.9,568.2,"2011"
"KANSAS",50.8,654.4,"2011"
"KENTUCKY",84.5,745,"2011"
"LOUISIANA",114.5,1012.5,"2011"
"MAINE",27.8,591.3,"2011"
"MARYLAND",177.5,614,"2011"
"MASSACHUSETTS",102.7,554.6,"2011"
"MICHIGAN",105.2,724.9,"2011"
"MINNESOTA",63.4,481.3,"2011"
"MISSISSIPPI",83.7,1037.7,"2011"
"MISSOURI",104.3,745.7,"2011"
"MONTANA",16.9,339.6,"2011"
"NEBRASKA",54.1,472.9,"2011"
"NEVADA",157.9,742.3,"2011"
"NEWHAMPSHIRE",36,436.1,"2011"
"NEWJERSEY",138.4,490.2,"2011"
"NEWMEXICO",82.7,1028.9,"2011"
"NEWYORK",145.9,336,"2011"
"NORTHCAROLINA",98.9,1099.2,"2011"
"NORTHDAKOTA",13.3,355.7,"2011"
"OHIO",139.1,976.3,"2011"
"OKLAHOMA",86.6,958.5,"2011"
"OREGON",57.4,528.1,"2011"
"PENNSYLVANIA",126.6,454,"2011"
"RHODEISLAND",71,662.4,"2011"
"SOUTHCAROLINA",92.2,1002.8,"2011"
"SOUTHDAKOTA",20.3,351.8,"2011"
"TENNESSEE",126.2,979.9,"2011"
"TEXAS",110.6,838.3,"2011"
"UTAH",38.4,465.8,"2011"
"VERMONT",13.6,581.5,"2011"
"VIRGINIA",67.1,377.9,"2011"
"WASHINGTON",82.5,827.7,"2011"
"WESTVIRGINIA",49,603.2,"2011"
"WISCONSIN",78.2,466.7,"2011"
"WYOMING",12.5,327.9,"2011"
"ALABAMA",104.1,984.7,"2012"
"ALASKA",86.1,403.3,"2012"
"ARIZONA",112.7,807.8,"2012"
"ARKANSAS",78.7,1081.3,"2012"
"CALIFORNIA",148.6,646.1,"2012"
"COLORADO",65.4,504.2,"2012"
"CONNECTICUT",102.7,409.7,"2012"
"DELAWARE",162.7,803.7,"2012"
"FLORIDA",123.7,794.9,"2012"
"GEORGIA",125.6,874.9,"2012"
"HAWAII",74.7,573.1,"2012"
"IDAHO",15.2,450.3,"2012"
"ILLINOIS",151.2,552.2,"2012"
"INDIANA",100.9,728.3,"2012"
"IOWA",31.3,556.1,"2012"
"KANSAS",52,650.3,"2012"
"KENTUCKY",80.7,675.4,"2012"
"LOUISIANA",119,915.7,"2012"
"MAINE",31.8,561.3,"2012"
"MARYLAND",172.3,573.2,"2012"
"MASSACHUSETTS",98.6,519.7,"2012"
"MICHIGAN",105.6,664.4,"2012"
"MINNESOTA",64.6,471.8,"2012"
"MISSISSIPPI",76.5,940.6,"2012"
"MISSOURI",96,705.2,"2012"
"MONTANA",19,387.4,"2012"
"NEBRASKA",60.9,470.8,"2012"
"NEVADA",178.3,801.8,"2012"
"NEWHAMPSHIRE",35.7,412.2,"2012"
"NEWJERSEY",128.4,477.6,"2012"
"NEWMEXICO",88.6,1025.3,"2012"
"NEWYORK",146.4,329.9,"2012"
"NORTHCAROLINA",96.3,1018.5,"2012"
"NORTHDAKOTA",18.7,339.8,"2012"
"OHIO",132,895.9,"2012"
"OKLAHOMA",84.7,936.6,"2012"
"OREGON",61.9,561.7,"2012"
"PENNSYLVANIA",122.8,445.5,"2012"
"RHODEISLAND",67.9,566.4,"2012"
"SOUTHCAROLINA",95,954.5,"2012"
"SOUTHDAKOTA",19,391,"2012"
"TENNESSEE",126.5,870.2,"2012"
"TEXAS",116.6,785.9,"2012"
"UTAH",38.5,453.3,"2012"
"VERMONT",17.9,633.4,"2012"
"VIRGINIA",57.5,360.5,"2012"
"WASHINGTON",83.3,880.5,"2012"
"WESTVIRGINIA",45.2,608.5,"2012"
"WISCONSIN",80.7,488,"2012"
"WYOMING",10.6,368.7,"2012"
"ALABAMA",96.2,877.8,"2013"
"ALASKA",84.9,396.7,"2013"
"ARIZONA",101.1,732.4,"2013"
"ARKANSAS",76.3,1030.1,"2013"
"CALIFORNIA",139.9,605.4,"2013"
"COLORADO",59.8,476.1,"2013"
"CONNECTICUT",98.2,358.5,"2013"
"DELAWARE",132.4,662.3,"2013"
"FLORIDA",118.7,710.5,"2013"
"GEORGIA",125,823.2,"2013"
"HAWAII",80.6,536.5,"2013"
"IDAHO",13.6,411.9,"2013"
"ILLINOIS",137.6,452.1,"2013"
"INDIANA",108.2,653,"2013"
"IOWA",30.4,513.5,"2013"
"KANSAS",46.6,600.4,"2013"
"KENTUCKY",73.9,596.4,"2013"
"LOUISIANA",119.9,890.4,"2013"
"MAINE",25.2,488.1,"2013"
"MARYLAND",169.5,538.9,"2013"
"MASSACHUSETTS",100.2,459.2,"2013"
